City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,chingola,-12.529,27.8838,60.69,98,100,3.8,ZM,1680749383
84,palestine,31.9216,35.2033,49.95,92,65,7.58,PS,1680749383
85,codrington,-38.2667,141.9667,75.6,39,100,0.92,AU,1680749330
86,la orilla,17.9833,-102.2333,75.25,82,67,4.85,MX,1680749383
87,tiznit,29.5833,-9.5,55.02,90,95,4.74,MA,1680749338
88,meulaboh,4.1363,96.1285,81.63,72,88,4.16,ID,1680749360
89,butaritari,3.0707,172.7902,82.33,80,98,18.23,KI,1680749337
90,manjacaze,-24.7117,33.8828,64.09,98,10,6.04,MZ,1680749383
91,westerland,54.9079,8.3033,30.94,100,9,4.61,DE,1680749232
92,samarai,-10.6167,150.6667,84.79,73,86,10.33,PG,1680749360
93,moindou,-21.6924,165.677,81.28,69,55,15.26,NC,1680749384
94,ribeira grande,38.5167,-28.7,57.78,90,82,1.99,PT,1680749329
95,atuona,-9.8,-139.0333,81.25,71,14,15.28,PF,1680749330
96,mount isa,-20.7333,139.5,94.77,17,1,5.75,AU,1680749335
97,kapaa,22.0752,-159.319,80.58,81,20,16.11,US,1680749326
98,mar del plata,-38.0023,-57.5575,67.08,81,20,17.0,AR,1680749326
99,ilo,-17.6394,-71.3375,72.34,86,1,3.42,PE,1680749384
100,pahrump,36.2083,-115.9839,55.26,19,5,3.0,US,1680749384
101,mayo,38.8876,-76.5119,78.26,79,0,17.27,US,1680749384
102,ponta do sol,32.6667,-17.1,63.23,32,6,4.85,PT,1680749332
103,semme,46.1963,1.5007,43.21,78,100,2.55,FR,1680749384
104,khatanga,71.9667,102.5,-16.42,93,82,10.16,RU,1680749384
105,ancud,-41.8697,-73.8203,51.8,90,98,6.55,CL,1680749343
106,natal,-5.795,-35.2094,75.85,94,20,4.61,BR,1680749384
107,ginda,30.6945,78.4932,60.87,25,86,2.13,IN,1680749385
108,nome,64.5011,-165.4064,6.12,61,0,4.61,US,1680749334
109,hermanus,-34.4187,19.2345,62.8,61,0,8.48,ZA,1680749343
110,waipawa,-41.4122,175.5153,62.92,69,100,9.24,NZ,1680749385
111,shimoda,34.6667,138.95,66.56,80,100,16.69,JP,1680749364
112,vila franca do campo,37.7167,-25.4333,57.61,90,94,0.92,PT,1680749371
113,anicuns,-16.4611,-49.9617,65.1,93,8,2.39,BR,1680749385
114,sobolevo,54.4299,31.8996,41.14,91,79,13.06,RU,1680749385
115,staraya russa,57.9944,31.3608,39.45,81,100,9.13,RU,1680749385
116,mao,39.8885,4.2658,46.96,93,0,3.44,ES,1680749385
117,havoysund,70.9963,24.6622,37.63,83,100,10.85,NO,1680749385
118,rapid valley,44.0625,-103.1463,23.63,75,0,6.91,US,1680749385
119,dikson,73.5069,80.5464,-22.9,97,75,8.14,RU,1680749327
120,tula,54.2044,37.6111,43.63,87,100,13.04,RU,1680749385
121,aksha,50.2814,113.2867,25.0,27,3,18.19,RU,1680749385
122,ahipara,-35.1667,173.1667,60.26,92,100,11.3,NZ,1680749385
123,son la,21.3167,103.9,91.8,20,7,0.58,VN,1680749386
124,tiksi,71.6872,128.8694,-3.23,83,95,11.3,RU,1680749332
125,beringovskiy,63.05,179.3167,20.73,87,100,2.73,RU,1680749342
126,saint-philippe,-21.3585,55.7679,74.79,81,44,7.85,RE,1680749336
127,pokhara,28.2333,83.9833,76.17,27,0,2.91,NP,1680749386
128,rio sereno,8.8167,-82.8667,64.98,89,99,5.14,PA,1680749386
